gene,cell_id,drug_id,label,de_logfc
P31645,BDB,CID125017,1,-0.16494105461952557
P21554,BDB,CID57340795,1,0.0407940710291248
P41595,BDB,CID57340315,1,0.4681313053044054
P14867,BDB,CID5556,1,0.0
P21917,BDB,CID4913274,1,0.4768231802171936
P49146,BDB,CID91898415,1,-0.9307270426126237
P34903,BDB,CID9823370,1,0.6838116476857863
P08588,BDB,CID2405,1,-0.18027984433727084
P48039,BDB,CID5311134,1,0.020372483845029876
P08912,BDB,CID1734,1,1.2092596223083358
P35372,BDB,CID6917707,1,-0.2243959386302361
P28221,BDB,CID5074,1,-0.8582610461811795
Q9UBL9,BDB,CID4179055,1,0.0
P14416,BDB,CID10381810,1,-0.17826817830995623
O60755,BDB,CID91898915,1,0.10001054772062545
P31644,BDB,CID3380,1,0.19153657984600514
P21452,BDB,CID55582,1,0.7836489425343753
P21917,BDB,CID16362,1,0.8747631888892311
P35367,BDB,CID57340802,1,0.0
P98161,BDB,CID18433653,1,1.0030910769771424
P35367,BDB,CID2995,1,-0.9542425094393252
P14416,BDB,CID16041630,1,-0.48647675860106077
P25100,BDB,CID16041628,1,0.23564776119194253
Q9H3N8,BDB,CID2790,1,-0.07355897622253416
P28221,BDB,CID5202,1,0.437373917596096
P25929,BDB,CID91898415,1,-0.3766553936042536
P28221,BDB,CID5073,1,-0.8579593480225354
P41145,BDB,CID57340759,1,0.4079242295786383
P31645,BDB,CID114743,1,1.0546717883765027
P28221,BDB,CID9681,1,-0.15671990210752895
P35372,BDB,CID57340768,1,0.9516953204254452
P34969,BDB,CID5073,1,0.5786204567476148
P50406,BDB,CID3964,1,0.021058556576279308
P41145,BDB,CID4428,1,0.13290766627957495
P21917,BDB,CID10381810,1,0.4768231802171936
P35372,BDB,CID12313112,1,0.151267675330649
P41143,BDB,CID6603759,1,1.2522460504731185
P14416,BDB,CID941651,1,0.9466705582983437
P34903,BDB,CID5448,1,-0.7722038181039705
P35372,BDB,CID25075996,1,-0.42276359239706984
P25100,BDB,CID5265,1,0.4798772906856552
P08912,BDB,CID23900142,1,1.5228787452803374
P35348,BDB,CID37459,1,-0.7052443901650172
Q969V1,BDB,CID57340400,1,0.11495451570169823
P35372,BDB,CID57340755,1,1.084320885700036
P08912,BDB,CID3661,1,1.5314789170422554
P98161,BDB,CID57340587,1,-0.7188372491676613
P34969,BDB,CID28693,1,0.5423933215780732
P35372,BDB,CID10322880,1,0.49405241910163156
P29275,BDB,CID176407,1,0.02426185340191367
P35348,BDB,CID10442840,1,0.441192102163118
P21917,BDB,CID5736,1,-0.461028913033962
P35367,BDB,CID3396,1,-0.07918124604762511
P21917,BDB,CID54592327,1,-0.692785951310567
P35372,BDB,CID20516612,1,0.2762064119389489
P35367,BDB,CID3100,1,-0.13956426617584938
P34969,BDB,CID10835110,1,0.742539608748519
P41595,BDB,CID9921157,1,0.6797857058575882
P08912,BDB,CID3602,1,-0.568891628075308
Q969V1,BDB,CID91898991,1,1.2910457747573796
P98161,BDB,CID5476508,1,0.0
P35372,BDB,CID13493,1,0.9294189257142929
P21917,BDB,CID3396,1,0.34116057821712076
P28335,BDB,CID443951,1,-0.3297246759432557
P34903,BDB,CID4266,1,0.025066645310481306
P35367,BDB,CID4011,1,1.1023729087095582
P31645,BDB,CID9925999,1,1.3006542177095781
P35367,BDB,CID3696,1,-0.4232458739368079
P28221,BDB,CID108029,1,-0.3005447897483249
P14416,BDB,CID71351,1,1.2019430634016501
Q01959,BDB,CID11472190,1,-0.2618311938236193
P14416,BDB,CID5452,1,-0.44150961308453773
P14416,BDB,CID9903970,1,0.2988530764097064
P20309,BDB,CID132947,1,-0.1693316754083849
P0DMS8,BDB,CID44282851,1,-0.28679234619282035
P31645,BDB,CID57340810,1,0.010089655723762192
P21917,BDB,CID2818,1,-0.41029378079833645
P07550,BDB,CID2687,1,0.15302539851951558
P23975,BDB,CID2170,1,0.026328938722349093
P41143,BDB,CID5359272,1,0.1618998069674511
P35348,BDB,CID2726,1,0.878332195468932
P41145,BDB,CID5288826,1,-1.6297801575568576
P25100,BDB,CID11957615,1,0.9301786009982163
Q99571,BDB,CID172469,1,-0.07697668659509738
P20309,BDB,CID2160,1,0.0
P25929,BDB,CID57340299,1,0.2665937232429112
P32745,BDB,CID16129706,1,1.6850342263927267
P21917,BDB,CID3964,1,0.23794109130205676
P49146,BDB,CID57339565,1,0.5910646070264995
P28221,BDB,CID2689,1,0.5685126807273306
P35348,BDB,CID4449,1,-0.3861285975663886
P28222,BDB,CID9681,1,-0.127599212285185
P98161,BDB,CID5097908,1,0.8939466075520741
P0DMS8,BDB,CID57340156,1,-0.0015566177120716063
P08912,BDB,CID49381,1,0.0
Q9UBL9,BDB,CID53462972,1,0.5440680443502757
P50406,BDB,CID2726,1,0.20630862156972363
P35372,BDB,CID57340761,1,1.4522976709946303
P14416,BDB,CID16104,1,-0.17096893956845705
P50391,BDB,CID57339553,1,0.5745223426952055
P20309,BDB,CID2726,1,-0.412775038619575
P31645,BDB,CID4976,1,0.3306174410870213
P28335,BDB,CID4585,1,0.37712016473446397
P14867,BDB,CID107704,1,0.2183604217705355
Q99705,BDB,CID57340376,1,-0.013436073200150389
Q99720,BDB,CID3559,1,0.0
P29274,BDB,CID2690,1,0.7862925533383507
P21917,BDB,CID5467,1,-0.016092341685700617
P43116,BDB,CID5311035,1,-0.4275624752788385
P21452,BDB,CID9808948,1,-0.8834446437799199
P28335,BDB,CID3036864,1,-0.2597730063299819
P35372,BDB,CID57340771,1,-1.5890950141635942
Q15722,BDB,CID6852392,1,-0.3936399227910785
P20309,BDB,CID19874223,1,1.3341185180336268
P49286,BDB,CID23928186,1,-0.6613739925439441
P28335,BDB,CID4140,1,0.6903318182643137
P43116,BDB,CID5282381,1,0.0
Q99705,BDB,CID91898992,1,1.2084126764162058
P49286,BDB,CID19023747,1,-0.5302309435343595
P32745,BDB,CID44270284,1,-0.6497016257631882
P32745,BDB,CID44208902,1,-0.7380678652279515
Q9Y5N1,BDB,CID6422124,1,-1.4915277701188971
P0DMS8,BDB,CID44292742,1,0.9684801589104852
P35372,BDB,CID57340272,1,-0.7194287826585999
P56373,BDB,CID115205,1,0.0
Q01959,BDB,CID1206,1,-0.017528822608565697
Q9UBL9,BDB,CID6022,1,-0.6224778967991753
P35372,BDB,CID57340749,1,1.1165055690714372
P25100,BDB,CID16041091,1,-0.18546011253212136
P49286,BDB,CID3467177,1,-0.3570977870267651
Q9H3N8,BDB,CID3035842,1,0.40748532657826786
O43603,BDB,CID91898913,1,0.36202745278139226
Q9Y5N1,BDB,CID3035842,1,0.18582249894039649
P20309,BDB,CID2913,1,0.3341185180336268
P28335,BDB,CID9794656,1,0.47000624243868216
P34903,BDB,CID107704,1,-0.025066645310481306
P21917,BDB,CID115237,1,-0.34708556072712504
P28221,BDB,CID1342,1,0.012075910525707556
P30939,BDB,CID18971832,1,0.6475704212310642
P49286,BDB,CID4018512,1,1.436692597664054
P41145,BDB,CID57340765,1,0.4181433947603246
P31645,BDB,CID6101829,1,-0.08893371659769311
P41595,BDB,CID57340158,1,0.03791516038127529
P41595,BDB,CID1229,1,-0.22330428113435552
P49146,BDB,CID44342909,1,0.8251478130598677
P25100,BDB,CID16041451,1,-0.12309522127618777
P32745,BDB,CID57339671,1,0.07918124604762511
P35372,BDB,CID4095,1,0.19501918319372535
P35372,BDB,CID443363,1,0.4175355647354184
P35346,BDB,CID44303660,1,-0.35073875495776896
P14416,BDB,CID16041628,1,-0.6576755153705305
P48039,BDB,CID57339966,1,-0.6256614453031908
P31644,BDB,CID3448,1,-0.7380681005682552
P31645,BDB,CID57340809,1,-0.21597557829375802
P49146,BDB,CID57340300,1,-1.0931821404888131
P32745,BDB,CID11251755,1,0.025935734094399976
P41595,BDB,CID44373084,1,0.49001474951071344
P14416,BDB,CID127912,1,-0.0021769192542748783
P25100,BDB,CID443951,1,0.8100510156506715
P21917,BDB,CID57242,1,-0.1790619234194768
P28335,BDB,CID4449,1,-0.064725329636655
P35372,BDB,CID3034816,1,0.29595047013470577
P08912,BDB,CID2344,1,0.7832908900360547
P14416,BDB,CID3033769,1,0.2988530764097064
P0DMS8,BDB,CID657378,1,-0.4888970376134196
P35372,BDB,CID57340766,1,0.739087227544001
Q99705,BDB,CID57340374,1,-1.1533151596013873
Q15722,BDB,CID14280302,1,0.29672990978302227
P32745,BDB,CID57340266,1,0.31380428370041
O60755,BDB,CID57340017,1,0.0
P32745,BDB,CID6918011,1,0.0
P35346,BDB,CID57339789,1,-0.47269986094936645
Q9UBL9,BDB,CID65562,1,-0.14919998116127253
P28335,BDB,CID71360,1,-0.10307032171287478
Q99705,BDB,CID91898991,1,1.4550850097575942
P20309,BDB,CID49381,1,-0.19948409263848355
Q969V1,BDB,CID57340390,1,-0.21162958443467073
P28335,BDB,CID6166,1,1.049218022670182
P41143,BDB,CID5490755,1,0.1383026981662816
P28335,BDB,CID4296,1,-0.2960576619505959
P21917,BDB,CID14096625,1,2.1757931845532124
P48169,BDB,CID9823370,1,-0.2041585900417413
Q969V1,BDB,CID57340393,1,0.0
P08912,BDB,CID24199,1,0.6622471973112791
P28221,BDB,CID5736,1,-0.8552345915509916
P35372,BDB,CID44316520,1,-0.07918124604762511
P49286,BDB,CID70547,1,-0.9741408514250853
P41595,BDB,CID47811,1,0.22769245683985595
P41145,BDB,CID4253,1,-1.9575202192005605
P35372,BDB,CID57340773,1,-0.048304679574554754
P35367,BDB,CID57340811,1,0.0
P35348,BDB,CID2801,1,0.5360452104709523
P50391,BDB,CID91898985,1,-0.546460528730977
P41145,BDB,CID57340752,1,-0.08894108333678119
P28222,BDB,CID155346,1,-0.25037371385357865
P28335,BDB,CID4917,1,-0.4851888764676948
P14416,BDB,CID21514163,1,1.122761817354025
P30939,BDB,CID1342,1,-0.30425261408484783
P25929,BDB,CID57340304,1,0.9109427766869498
P35348,BDB,CID4926,1,0.26740874380966595
P35372,BDB,CID19791602,1,-0.016295788345567885
P41145,BDB,CID105104,1,-0.5256336810008353
P41145,BDB,CID25075991,1,0.5642714304385628
P23975,BDB,CID2801,1,-0.349334675238536
Q99705,BDB,CID57340390,1,0.013436073200150389
P23975,BDB,CID3947,1,0.49805516155530505
P48039,BDB,CID5170952,1,-1.672864176738046
P31645,BDB,CID162180,1,1.06657101167621
P32745,BDB,CID5311375,1,-0.6663008875826506
P41595,BDB,CID4284720,1,-0.6621234143221804
P50406,BDB,CID2170,1,-0.2015146210344092
P23975,BDB,CID57340812,1,-0.21670910996394532
P23975,BDB,CID122252,1,0.0921462232119925
P35372,BDB,CID57340787,1,-0.2009148427807137
P23975,BDB,CID57340805,1,-0.23194907652068242
P34969,BDB,CID5202,1,0.44260217839511107
P35348,BDB,CID1355,1,-0.9455765454753866
P20309,BDB,CID2344,1,1.3719070789230265
P14867,BDB,CID3373,1,0.40322560513372174
P25929,BDB,CID91663443,1,-0.40664576378017436
P14416,BDB,CID2726,1,0.05581502772341196
P28222,BDB,CID115237,1,-0.15725233605509192
Q9Y271,BDB,CID23196931,1,-0.47337724402338743
P50391,BDB,CID91898408,1,-0.05426350541646219
P32745,BDB,CID57340264,1,-0.5965174158754056
P28335,BDB,CID60854,1,0.7374641616144277
P21554,BDB,CID22422464,1,0.0
P08912,BDB,CID5184,1,0.9144785759213558
P30542,BDB,CID44293364,1,-0.022276394711152392
P41595,BDB,CID154315,1,0.21798714833247956
P43681,BDB,CID10176764,1,-1.5278500750990514
P41595,BDB,CID440945,1,0.11346608433277616
P30542,BDB,CID57340155,1,1.2575643018828906
P32247,BDB,CID57340618,1,-0.08268369683195331
P48039,BDB,CID57340031,1,-0.6633829802673237
P28221,BDB,CID71360,1,-0.17701980880559276
P35372,BDB,CID57340782,1,-0.9456423376774072
P08173,BDB,CID57340289,1,-0.1593793813122062
Q99571,BDB,CID5478935,1,0.07697668659509738
P21917,BDB,CID65750,1,-0.2316921420250555
P41143,BDB,CID57340784,1,0.650186059145156
P07492,BDB,CID57340619,1,-0.9647094628571455
P41146,BDB,CID91899091,1,1.5671648087748018
P41143,BDB,CID41693,1,-0.5436339668709564
P50406,BDB,CID154315,1,-0.24290730619263456
P35346,BDB,CID91898460,1,1.0393592921719215
P35348,BDB,CID60795,1,-0.3712653586391026
P41145,BDB,CID57340749,1,0.3881801713828814
P28335,BDB,CID44265170,1,1.5051499783199063
P41143,BDB,CID3034816,1,-0.7096494231947315
P20309,BDB,CID23844146,1,-0.46671307428551945
P48039,BDB,CID195276,1,0.805702318855797
P25021,BDB,CID25149706,1,-0.22184874961635614
P49146,BDB,CID91898402,1,-1.1998653022902763
P41143,BDB,CID5281600,1,-0.40695682699141233
P35346,BDB,CID91663465,1,0.5491050221809761
P21917,BDB,CID5684,1,-0.0848081540551604
P35348,BDB,CID4078,1,0.7401651931268773
Q01959,BDB,CID107786,1,0.10446553335295317
P29274,BDB,CID176408,1,1.3679767852945943
P48169,BDB,CID104999,1,0.2041585900417413
P28221,BDB,CID11957615,1,1.0078453745575935
P41143,BDB,CID57340755,1,0.4731909610912304
P28222,BDB,CID11957615,1,-0.18419396401412147
P41145,BDB,CID6603759,1,1.0413926851582254
Q15822,BDB,CID1204,1,0.0
P54760,BDB,CID644241,1,0.0
Q99705,BDB,CID57340397,1,-0.7124060775361691
P21554,BDB,CID4055807,1,-0.20035983378261868
P14416,BDB,CID31101,1,-0.4171502672250931
P21452,BDB,CID9917944,1,-0.7836489425343753
P28335,BDB,CID40589,1,-0.20605448243312452
P41595,BDB,CID4830,1,-0.5980526271444591
Q99705,BDB,CID57340381,1,-0.14697498157036826
P14416,BDB,CID1238,1,0.9466705582983437
P35367,BDB,CID2725,1,0.4271283977995193
P20309,BDB,CID3661,1,1.8692317197309762
P35372,BDB,CID57340777,1,-1.1119737594439325
P34969,BDB,CID60795,1,0.3445996000764815
P35367,BDB,CID4078,1,0.7435227937583235
P21917,BDB,CID3372,1,-0.5689343103434812
Q969V1,BDB,CID57340388,1,-0.019744058195757752
P09619,BDB,CID5291,1,-0.08804562952784067
P50406,BDB,CID71360,1,-0.3025739759425248
P41143,BDB,CID25075996,1,0.0
P31645,BDB,CID5324346,1,1.2611456764259046
P23975,BDB,CID3696,1,-0.760777154314221
P21554,BDB,CID22475020,1,1.1613680022349744
Q99705,BDB,CID57340384,1,0.9451712416416242
P25103,BDB,CID44306310,1,0.0
P0DMS8,BDB,CID44293364,1,0.5317875612464311
P35367,BDB,CID5452,1,-0.20736503746907164
Q99705,BDB,CID57340400,1,-1.2335441612402054
P25100,BDB,CID16041265,1,0.431517668422444
P09619,BDB,CID644241,1,0.08804562952784067
P41145,BDB,CID57340758,1,-0.2530735410033671
P07550,BDB,CID133038,1,1.751064115914554
P41145,BDB,CID9809562,1,-0.6020599913279625
Q01959,BDB,CID3455,1,0.42224725511105365
P29274,BDB,CID163889,1,-0.8315955696106094
P20309,BDB,CID667468,1,-0.30270357955354754
P28335,BDB,CID21982952,1,-0.03329807339031099
P30542,BDB,CID44292964,1,-0.3597356560018081
P35348,BDB,CID3696,1,-0.4639547895290477
P35372,BDB,CID57340788,1,-1.3258535793890136
P25103,BDB,CID153996,1,-1.7486822085331655
P30939,BDB,CID8226,1,-0.06493898174142831
P48169,BDB,CID108030,1,-0.3226254032898801
P28222,BDB,CID4636,1,1.6708123646603843
P35372,BDB,CID57340783,1,-1.5890950141635942
P32745,BDB,CID57339550,1,2.1856365769619117
P29274,BDB,CID44292742,1,0.0
P14416,BDB,CID4913274,1,0.9009130677376689
P50406,BDB,CID5202,1,-0.25073264370459114
P50391,BDB,CID91663443,1,0.014981611688721586
P21917,BDB,CID6005,1,0.2006167682782447
P28222,BDB,CID5736,1,-0.630217631003597
P25100,BDB,CID16041090,1,-0.348187410029821
Q9Y5N1,BDB,CID3692,1,0.3446195028096639
P28335,BDB,CID18361914,1,0.9109153245039003
P41595,BDB,CID3251,1,0.967136004230376
P23975,BDB,CID57340808,1,0.2762064119389489
P34969,BDB,CID3372,1,0.43933269383026285
P41595,BDB,CID2769,1,-0.7167623321295435
P28335,BDB,CID57340159,1,-0.21971079976243058
P21917,BDB,CID60149,1,-0.07408428866338745
Q15722,BDB,CID57340251,1,-0.29672990978302227
P14867,BDB,CID5732,1,-1.5193621715574999
P20309,BDB,CID44302812,1,-0.5567215017471137
Q969V1,BDB,CID57340373,1,-0.1624115617644888
P49146,BDB,CID91898444,1,-0.09017663034908807
P41595,BDB,CID3644637,1,-0.9222742854703743
P14416,BDB,CID4431,1,-1.0722147858620295
P08912,BDB,CID5572,1,0.02905179705782235
P28335,BDB,CID4184,1,0.6098853288399191
P35348,BDB,CID5073,1,0.45573445928235756
P50391,BDB,CID91898419,1,-0.6284710647974654
P21917,BDB,CID5074,1,-0.34708556072712504
P14867,BDB,CID5275,1,-1.5979250789725858
P35372,BDB,CID4422,1,0.44869354672580464
Q9Y5N1,BDB,CID3035905,1,-1.4300618252119968
P50406,BDB,CID44272242,1,0.7650616234786405
P28335,BDB,CID9681,1,0.869522639345675
P28222,BDB,CID1809,1,0.9941187550355179
P34969,BDB,CID60149,1,-0.10473535052001282
P41595,BDB,CID542051,1,-0.6578731851685546
P25929,BDB,CID91898404,1,-0.363057538756526
P14416,BDB,CID16041451,1,-1.0999546537935583
P29274,BDB,CID44282843,1,-0.7781512503836439
P20309,BDB,CID60809,1,-0.18669241350284604
P34969,BDB,CID941650,1,0.15209098265191479
P35367,BDB,CID2344,1,0.9586073148417746
P35372,BDB,CID57340764,1,1.230448921378274
Q9Y5N1,BDB,CID156615,1,0.24381444591808332
P35346,BDB,CID9918828,1,-0.6907001159273394
P14416,BDB,CID44272242,1,-0.09908693226233112
P31645,BDB,CID3012003,1,0.5814808272852723
P41143,BDB,CID107847,1,1.4149733479708182
P35367,BDB,CID25263218,1,0.2365720064370631
P14416,BDB,CID5281878,1,0.4237918130180063
P28335,BDB,CID60149,1,1.396005508894838
P35367,BDB,CID5002,1,-0.04139268515822536
P35372,BDB,CID57340790,1,0.0
P50406,BDB,CID31101,1,-0.02105855657627842
P41143,BDB,CID443408,1,1.5930431730085868
P0DMS8,BDB,CID23757284,1,0.40420872847192246
P21917,BDB,CID49381,1,-0.19218360074138197
P35348,BDB,CID941651,1,0.00019749636736765552
Q969V1,BDB,CID57340391,1,0.03140846425162369
P30939,BDB,CID5358,1,0.06493898174142831
P41595,BDB,CID18516642,1,-0.12230355202414422
P08912,BDB,CID3746,1,1.0
P25103,BDB,CID9917944,1,2.4571829247774755
P21554,BDB,CID5321846,1,0.755893575665679
P28335,BDB,CID4847,1,-0.5362427068383191
P14416,BDB,CID16041449,1,-1.1385010514384684
P20309,BDB,CID3696,1,-0.36485148630239195
P34969,BDB,CID154315,1,-0.3476847586341236
P29274,BDB,CID448222,1,-0.15490195998574308
P28221,BDB,CID60854,1,0.42504018252236975
P35367,BDB,CID115237,1,-0.2479732663618064
P35346,BDB,CID91898461,1,-0.12042945566136076
P49146,BDB,CID57339554,1,0.17055877045572032
P41143,BDB,CID57340767,1,-0.278913414931413
P41143,BDB,CID25075991,1,-0.011981297283114145
P41145,BDB,CID121591,1,-0.8776854072178484
P34969,BDB,CID62865,1,0.0
P98161,BDB,CID57340588,1,-1.4070833881119071
P35367,BDB,CID60858,1,-0.8241258339165487
P47211,BDB,CID3043477,1,0.06445798922691814
P50406,BDB,CID60854,1,-0.2871619093312656
Q16445,BDB,CID5448,1,0.5547044111001735
P28221,BDB,CID443951,1,-0.21097939962504864
P41145,BDB,CID20516612,1,1.1383026981662816
P41143,BDB,CID4428,1,-0.0571179235752135
P28221,BDB,CID31101,1,-0.03112333510666243
P31645,BDB,CID57340798,1,-0.3216091597066706
P21554,BDB,CID4621779,1,-0.20969986003676144
P35372,BDB,CID57340751,1,0.151267675330649
P41595,BDB,CID28693,1,1.2173877079586326
P48039,BDB,CID4018512,1,0.9026123318638533
P35348,BDB,CID9903970,1,0.9998025036326332
P25929,BDB,CID57340298,1,1.4082674174948995
P35372,BDB,CID41693,1,0.8782664032669114
P31645,BDB,CID57340799,1,-0.22222452757075928
P41145,BDB,CID91928823,1,0.0
P21917,BDB,CID4078,1,0.1709943016714437
P21917,BDB,CID3559,1,0.5119875972804451
P35367,BDB,CID4917,1,-0.2771506139637969
P41145,BDB,CID41693,1,-1.8336685782334747
P28335,BDB,CID60858,1,-0.12975892462298777
P41595,BDB,CID4585,1,0.002178753137094702
P35372,BDB,CID5284596,1,0.08432088570003593
P35348,BDB,CID2160,1,-0.11109315559219812
P35346,BDB,CID16133799,1,-0.46364248152771825
P08912,BDB,CID2160,1,-0.06731158972085982
P21917,BDB,CID62865,1,0.4057598243917493
Q99705,BDB,CID57340382,1,0.4302614260325619
P41143,BDB,CID430245,1,-0.7766300772631105
P08912,BDB,CID4543,1,-0.7563228128879711
P25929,BDB,CID57340305,1,1.2991229480698312
P00519,BDB,CID644241,1,0.0
P35348,BDB,CID5452,1,0.34222518445483985
P25929,BDB,CID91898423,1,-0.7466345424908436
P34903,BDB,CID2802,1,0.496725004328642
P08912,BDB,CID11757797,1,0.5102896179723171
Q969V1,BDB,CID57340382,1,-0.06550154875643255
O43603,BDB,CID91898925,1,0.0
P14416,BDB,CID23897,1,-0.7011469235902936
P0DMS8,BDB,CID163889,1,-0.07540583877845641
P41595,BDB,CID18361914,1,0.17790521210253019
P28221,BDB,CID9903970,1,0.057063397227775425
P49286,BDB,CID23786511,1,-0.44791398363387636
P28335,BDB,CID107780,1,-0.6497519816658368
P50391,BDB,CID57340303,1,0.297786787246503
P41145,BDB,CID57340757,1,1.2632414347745815
P56373,BDB,CID5310983,1,-0.02732312721123442
P35372,BDB,CID57340779,1,0.5314789170422554
P35372,BDB,CID430245,1,0.0
P29275,BDB,CID6439089,1,-0.1928435106788493
P28222,BDB,CID5073,1,-0.08740055578107153
